Age,Salary,YearsExperience,NumCertifications,JobSatisfaction,JobTitle,Education,City,Promotion
22,127603,11,1,9,Data Scientist,Bachelor's,Chicago,No Promotion
26,83872,6,1,9,Data Scientist,Master's,Chicago,No Promotion
47,60728,6,3,4,Product Manager,Bachelor's,Austin,Got Promotion
44,145102,4,4,3,Data Scientist,High School,San Francisco,Got Promotion
35,145319,1,0,10,Data Engineer,High School,New York,No Promotion
28,70583,10,1,6,Software Engineer,PhD,Seattle,No Promotion
48,135774,5,3,3,Data Scientist,Master's,Austin,No Promotion
30,57263,9,3,1,Data Analyst,Bachelor's,San Francisco,No Promotion
36,117450,2,3,4,Data Analyst,Bachelor's,Seattle,No Promotion
36,139285,3,0,1,Product Manager,Master's,New York,Got Promotion
47,69456,12,2,2,Data Engineer,Bachelor's,Seattle,No Promotion
31,141118,9,4,3,Web developer,Master's,Chicago,No Promotion
49,115942,11,2,8,Web developer,Master's,Chicago,No Promotion
34,63689,10,4,10,Software Engineer,High School,Austin,No Promotion
40,82934,1,4,4,Product Manager,Master's,Seattle,No Promotion
28,83276,13,3,4,Data Analyst,Bachelor's,Chicago,No Promotion
38,69873,1,1,10,Data Engineer,Master's,Austin,No Promotion
41,63050,11,3,9,Software Engineer,High School,Austin,Got Promotion
25,116216,7,0,7,Data Scientist,High School,Austin,No Promotion
26,134444,7,4,2,Software Engineer,PhD,New York,No Promotion
44,134040,9,1,3,Business Analyst,Bachelor's,Chicago,Got Promotion
28,71644,5,4,4,Software Engineer,Master's,Chicago,Got Promotion
34,112021,12,4,4,Data Scientist,Bachelor's,San Francisco,No Promotion
36,87125,4,3,10,Business Analyst,Bachelor's,New York,No Promotion
32,116899,7,1,8,Web developer,Master's,Chicago,Got Promotion
25,92291,3,1,10,Data Engineer,High School,Chicago,No Promotion
34,85060,10,4,10,Product Manager,Bachelor's,San Francisco,No Promotion
28,51538,3,1,6,Data Engineer,PhD,Seattle,No Promotion
48,86176,4,1,3,Software Engineer,Bachelor's,Seattle,No Promotion
40,91520,0,3,9,Web developer,High School,New York,No Promotion
43,75675,0,2,10,Product Manager,PhD,Austin,No Promotion
49,68287,1,0,8,Software Engineer,PhD,San Francisco,Got Promotion
23,50174,13,2,9,Data Analyst,PhD,San Francisco,Got Promotion
31,142268,7,1,5,Data Analyst,PhD,Chicago,Got Promotion
34,84998,6,4,3,Data Scientist,Master's,Chicago,No Promotion
46,103312,14,0,4,Web developer,Master's,San Francisco,No Promotion
42,62112,14,0,5,Web developer,Master's,Austin,Got Promotion
27,125225,9,4,9,Data Engineer,PhD,Seattle,No Promotion
49,94814,8,0,9,Data Analyst,High School,New York,No Promotion
49,135091,4,4,3,Business Analyst,Bachelor's,Seattle,No Promotion
33,100719,1,0,7,Business Analyst,PhD,New York,No Promotion
33,83919,6,2,6,Web developer,High School,Austin,No Promotion
41,123155,14,0,4,Web developer,Bachelor's,San Francisco,No Promotion
32,121569,7,3,5,Software Engineer,PhD,Austin,Got Promotion
47,91328,11,4,10,Web developer,Bachelor's,San Francisco,No Promotion
44,120482,6,0,2,Product Manager,Master's,Chicago,Got Promotion
49,74618,13,4,7,Business Analyst,Master's,New York,Got Promotion
46,84675,6,3,4,Software Engineer,Master's,Chicago,No Promotion
28,68919,11,0,2,Product Manager,High School,San Francisco,Got Promotion
22,54173,14,0,6,Web developer,Master's,New York,No Promotion
22,76400,13,3,2,Web developer,High School,New York,No Promotion
46,100445,4,3,10,Data Analyst,Master's,Chicago,No Promotion
48,120305,1,3,2,Software Engineer,Master's,New York,No Promotion
46,87564,5,4,7,Product Manager,Master's,San Francisco,No Promotion
41,95814,3,3,1,Data Scientist,High School,San Francisco,No Promotion
34,129747,9,4,7,Web developer,Bachelor's,Chicago,No Promotion
30,138791,1,2,10,Data Engineer,High School,Austin,No Promotion
24,77962,11,0,5,Data Engineer,PhD,San Francisco,No Promotion
28,134892,8,0,1,Web developer,PhD,San Francisco,No Promotion
27,135842,6,1,6,Data Scientist,High School,New York,No Promotion
29,120533,5,2,7,Business Analyst,High School,New York,Got Promotion
48,106184,11,3,1,Data Engineer,Bachelor's,San Francisco,No Promotion
30,132912,4,3,9,Product Manager,High School,Chicago,Got Promotion
26,60578,2,2,7,Web developer,Master's,Austin,No Promotion
22,68624,11,3,1,Web developer,Bachelor's,New York,No Promotion
40,89194,14,1,3,Web developer,High School,New York,No Promotion
31,50389,14,4,5,Data Scientist,High School,Austin,No Promotion
33,149303,9,0,4,Business Analyst,PhD,New York,Got Promotion
45,117391,9,2,2,Software Engineer,Bachelor's,Chicago,No Promotion
36,63794,3,0,1,Web developer,PhD,New York,No Promotion
48,108002,2,4,4,Software Engineer,High School,New York,No Promotion
43,85531,11,2,7,Product Manager,Bachelor's,San Francisco,No Promotion
45,102815,10,4,4,Product Manager,Master's,Chicago,Got Promotion
30,54986,7,3,9,Product Manager,High School,Chicago,No Promotion
41,82298,2,3,8,Data Engineer,High School,San Francisco,Got Promotion
38,51481,6,3,8,Product Manager,PhD,Seattle,No Promotion
38,106408,6,4,5,Web developer,Master's,Austin,No Promotion
47,119267,6,4,1,Data Scientist,High School,Chicago,No Promotion
41,66835,12,4,9,Data Scientist,PhD,Seattle,No Promotion
33,77798,6,0,2,Business Analyst,PhD,Austin,Got Promotion
28,141649,13,4,6,Data Scientist,High School,Chicago,No Promotion
23,114887,1,3,10,Data Engineer,Bachelor's,New York,No Promotion
24,69477,9,1,5,Software Engineer,High School,Chicago,Got Promotion
38,67266,2,4,10,Business Analyst,Master's,Austin,No Promotion
26,136328,9,1,8,Data Scientist,High School,Seattle,No Promotion
38,135988,8,3,3,Product Manager,Bachelor's,New York,No Promotion
45,93526,2,4,6,Data Scientist,PhD,Austin,No Promotion
38,61889,1,0,6,Data Analyst,Master's,Austin,No Promotion
48,74335,8,0,10,Business Analyst,Master's,Chicago,No Promotion
38,61254,12,1,3,Web developer,Master's,San Francisco,Got Promotion
23,136610,9,0,7,Web developer,Master's,San Francisco,No Promotion
23,61442,8,0,4,Data Engineer,Bachelor's,New York,Got Promotion
49,96289,3,0,5,Data Scientist,Bachelor's,Austin,No Promotion
43,103747,13,3,9,Data Scientist,Bachelor's,Seattle,No Promotion
44,87327,11,0,6,Data Engineer,Bachelor's,New York,Got Promotion
26,66199,8,2,10,Software Engineer,PhD,New York,Got Promotion
22,122827,2,4,4,Product Manager,High School,Chicago,No Promotion
22,50112,6,0,8,Product Manager,Bachelor's,Seattle,No Promotion
40,137051,6,0,9,Software Engineer,High School,Austin,Got Promotion
23,69581,14,0,10,Software Engineer,Master's,Austin,Got Promotion
42,109722,10,2,5,Data Analyst,PhD,Austin,Got Promotion
33,142036,7,0,2,Data Engineer,PhD,New York,No Promotion
47,147562,9,0,6,Business Analyst,High School,Chicago,No Promotion
27,66523,14,4,8,Product Manager,High School,New York,No Promotion
44,116960,3,2,5,Software Engineer,High School,San Francisco,Got Promotion
25,69552,2,2,1,Software Engineer,PhD,San Francisco,No Promotion
44,60808,2,0,8,Data Engineer,Bachelor's,Austin,No Promotion
32,122525,14,2,9,Web developer,PhD,Chicago,Got Promotion
45,73620,11,1,1,Business Analyst,Bachelor's,Austin,No Promotion
48,50887,4,2,8,Software Engineer,Master's,Austin,Got Promotion
38,81802,10,2,10,Web developer,Bachelor's,New York,No Promotion
27,135024,14,2,2,Data Analyst,High School,Austin,No Promotion
45,145549,13,3,4,Business Analyst,Bachelor's,Austin,No Promotion
26,131938,0,3,2,Web developer,Bachelor's,Chicago,No Promotion
41,136741,9,3,2,Data Analyst,PhD,Chicago,No Promotion
23,76049,2,2,10,Data Scientist,High School,Chicago,No Promotion
27,127789,13,1,3,Product Manager,Master's,Austin,No Promotion
43,134526,5,2,8,Software Engineer,Bachelor's,Chicago,Got Promotion
32,57846,2,0,4,Web developer,Master's,Chicago,No Promotion
37,140563,4,1,7,Business Analyst,High School,Seattle,No Promotion
37,96220,8,3,10,Data Analyst,Bachelor's,Seattle,No Promotion
22,96163,1,4,3,Product Manager,PhD,San Francisco,No Promotion
30,53765,10,1,10,Product Manager,Master's,New York,Got Promotion
49,131486,1,3,3,Software Engineer,PhD,New York,No Promotion
48,95270,11,1,2,Web developer,Master's,Chicago,No Promotion
27,125277,5,1,6,Product Manager,High School,San Francisco,Got Promotion
37,138278,5,2,6,Software Engineer,Bachelor's,San Francisco,No Promotion
24,140239,10,0,1,Web developer,Master's,Seattle,No Promotion
41,72931,10,4,7,Web developer,PhD,San Francisco,Got Promotion
49,139116,7,3,4,Data Scientist,Master's,Austin,Got Promotion
48,105633,11,1,3,Software Engineer,Master's,Chicago,No Promotion
25,130702,12,4,8,Data Engineer,Master's,Austin,No Promotion
40,101913,10,1,2,Data Analyst,Master's,New York,Got Promotion
47,144776,13,0,9,Data Engineer,Master's,Seattle,No Promotion
24,75991,1,4,8,Web developer,Master's,Austin,Got Promotion
40,104845,8,3,8,Web developer,PhD,Chicago,Got Promotion
41,148505,14,1,3,Product Manager,Master's,Austin,No Promotion
28,105312,1,0,4,Product Manager,Master's,Austin,No Promotion
41,60561,12,4,2,Product Manager,Master's,San Francisco,No Promotion
30,66901,0,1,2,Web developer,Bachelor's,Seattle,No Promotion
22,145556,9,1,4,Software Engineer,High School,New York,No Promotion
29,112875,1,3,6,Business Analyst,High School,Chicago,Got Promotion
28,75917,11,0,5,Software Engineer,High School,Chicago,No Promotion
39,112120,6,2,1,Data Analyst,PhD,New York,No Promotion
29,51988,7,1,10,Software Engineer,PhD,Chicago,Got Promotion
22,64256,4,4,1,Product Manager,PhD,San Francisco,No Promotion
32,137728,5,3,6,Data Scientist,Master's,Austin,No Promotion
49,78230,11,3,3,Data Analyst,High School,San Francisco,No Promotion
46,109778,0,1,3,Data Engineer,Master's,San Francisco,No Promotion
46,95833,14,1,7,Data Scientist,Bachelor's,San Francisco,Got Promotion
39,72625,5,1,1,Data Analyst,High School,New York,No Promotion
44,82088,11,2,1,Data Analyst,Bachelor's,Seattle,No Promotion
31,129650,14,1,10,Web developer,Bachelor's,New York,No Promotion
24,91167,7,0,3,Product Manager,Master's,New York,Got Promotion
28,121291,12,4,8,Web developer,High School,San Francisco,Got Promotion
49,115303,2,1,1,Data Engineer,Bachelor's,Seattle,No Promotion
37,126361,10,2,10,Software Engineer,High School,New York,Got Promotion
47,138229,0,4,4,Web developer,Bachelor's,Seattle,No Promotion
37,54117,10,3,9,Data Engineer,Bachelor's,San Francisco,No Promotion
46,140265,3,1,4,Product Manager,Master's,New York,Got Promotion
41,147718,0,4,10,Product Manager,High School,Seattle,No Promotion
49,110710,13,3,8,Web developer,Master's,Chicago,No Promotion
38,144426,7,2,7,Product Manager,Master's,New York,No Promotion
23,144876,4,0,3,Data Scientist,Master's,New York,No Promotion
22,117054,0,1,7,Data Engineer,Master's,New York,No Promotion
37,80949,13,0,7,Data Engineer,Master's,Seattle,No Promotion
33,72547,7,2,10,Data Analyst,Bachelor's,Austin,No Promotion
26,131882,8,4,3,Business Analyst,High School,New York,No Promotion
26,118136,9,4,2,Software Engineer,High School,Chicago,No Promotion
48,114619,1,2,9,Product Manager,Master's,Chicago,No Promotion
44,111842,8,2,1,Data Engineer,High School,San Francisco,Got Promotion
30,144803,7,1,7,Data Engineer,Bachelor's,Austin,No Promotion
30,76990,6,3,4,Data Analyst,Master's,Austin,Got Promotion
24,66193,2,0,2,Software Engineer,PhD,Seattle,Got Promotion
40,80109,1,0,2,Business Analyst,PhD,San Francisco,No Promotion
37,69233,6,4,8,Business Analyst,Bachelor's,Seattle,No Promotion
37,131730,14,4,7,Product Manager,Bachelor's,San Francisco,No Promotion
24,84510,4,1,7,Business Analyst,PhD,Austin,No Promotion
41,51306,5,2,5,Business Analyst,Master's,Seattle,No Promotion
45,53849,3,0,10,Web developer,Bachelor's,San Francisco,No Promotion
43,62360,1,1,8,Software Engineer,PhD,Austin,No Promotion
45,144767,8,4,2,Software Engineer,Master's,Austin,Got Promotion
22,95800,2,4,2,Web developer,Bachelor's,New York,Got Promotion
45,86963,11,0,5,Product Manager,High School,Seattle,No Promotion
41,104330,13,4,1,Data Engineer,High School,New York,No Promotion
32,101707,6,4,6,Data Analyst,High School,Austin,No Promotion
38,68689,13,3,4,Product Manager,Master's,Seattle,No Promotion
29,79084,7,2,6,Data Scientist,Bachelor's,Seattle,Got Promotion
25,90387,1,4,7,Business Analyst,PhD,Chicago,Got Promotion
27,124816,13,3,3,Web developer,Bachelor's,San Francisco,No Promotion
29,52642,5,1,8,Data Analyst,High School,Chicago,No Promotion
41,92137,10,4,7,Data Engineer,High School,Chicago,No Promotion
24,129832,7,1,1,Data Engineer,Master's,Austin,Got Promotion
37,105561,6,4,6,Software Engineer,PhD,San Francisco,No Promotion
46,112260,10,0,7,Data Scientist,Master's,Chicago,No Promotion
24,65438,2,3,4,Data Engineer,PhD,Chicago,Got Promotion
46,98442,0,3,2,Data Scientist,Bachelor's,Seattle,Got Promotion
39,52994,13,0,10,Business Analyst,Master's,Austin,Got Promotion
35,149575,5,2,9,Software Engineer,Master's,Chicago,No Promotion
39,51813,7,3,7,Data Analyst,Master's,San Francisco,No Promotion
23,143027,5,1,1,Software Engineer,High School,New York,No Promotion
43,134381,4,3,8,Business Analyst,High School,New York,Got Promotion
24,105276,10,2,3,Web developer,PhD,Austin,Got Promotion
37,91243,11,1,4,Data Engineer,Bachelor's,New York,Got Promotion
30,112912,7,1,5,Data Scientist,Master's,Seattle,No Promotion
25,110272,1,0,1,Web developer,High School,Seattle,Got Promotion
22,92051,14,4,6,Business Analyst,Master's,San Francisco,No Promotion
25,128854,11,0,10,Data Engineer,PhD,Austin,No Promotion
22,132736,14,4,6,Product Manager,PhD,Austin,No Promotion
35,115618,0,0,2,Data Scientist,Bachelor's,New York,No Promotion
42,51920,0,4,10,Business Analyst,PhD,Chicago,No Promotion
37,127219,14,3,6,Data Analyst,Master's,Chicago,Got Promotion
41,126872,13,1,8,Data Analyst,Bachelor's,Chicago,Got Promotion
45,131132,3,4,6,Data Engineer,Bachelor's,San Francisco,No Promotion
29,52093,5,3,4,Data Engineer,High School,Austin,No Promotion
28,62905,12,2,4,Data Analyst,Master's,New York,No Promotion
24,74351,8,0,9,Product Manager,PhD,San Francisco,No Promotion
38,80981,0,2,6,Software Engineer,High School,Seattle,No Promotion
22,123903,11,3,8,Data Analyst,Master's,Seattle,Got Promotion
37,120821,0,2,8,Data Engineer,Master's,Seattle,No Promotion
33,132289,12,2,7,Data Engineer,Bachelor's,Austin,Got Promotion
48,134021,12,3,3,Product Manager,Bachelor's,Seattle,Got Promotion
40,128513,4,1,10,Data Analyst,Master's,Chicago,No Promotion
43,69874,9,4,1,Product Manager,High School,Seattle,No Promotion
44,100931,4,0,5,Data Analyst,Bachelor's,San Francisco,Got Promotion
43,57674,4,4,10,Software Engineer,Bachelor's,Seattle,No Promotion
35,100516,9,0,10,Business Analyst,Master's,Chicago,Got Promotion
27,144574,5,4,2,Data Analyst,Master's,Seattle,Got Promotion
27,110686,7,2,10,Business Analyst,Bachelor's,New York,No Promotion
34,144851,2,1,2,Data Analyst,High School,Chicago,Got Promotion
40,119212,8,2,7,Software Engineer,Bachelor's,Austin,No Promotion
43,52426,12,1,3,Web developer,Master's,Seattle,Got Promotion
29,140009,0,3,8,Data Engineer,Bachelor's,San Francisco,No Promotion
48,118498,3,0,9,Business Analyst,Master's,Seattle,Got Promotion
48,79943,8,0,8,Product Manager,Bachelor's,San Francisco,No Promotion
23,116395,14,3,6,Data Analyst,Master's,New York,Got Promotion
42,94816,13,4,5,Data Engineer,Master's,Austin,No Promotion
22,54138,7,3,3,Data Analyst,High School,Chicago,No Promotion
49,141176,9,3,3,Product Manager,Master's,Chicago,No Promotion
36,125945,8,1,7,Software Engineer,Bachelor's,Austin,Got Promotion
22,54017,0,3,5,Data Scientist,Master's,New York,No Promotion
26,60451,8,0,6,Data Analyst,PhD,New York,No Promotion
49,112956,2,2,6,Web developer,Bachelor's,Seattle,Got Promotion
37,143863,10,1,9,Product Manager,High School,New York,Got Promotion
40,60278,11,1,1,Data Scientist,Bachelor's,Seattle,No Promotion
25,140480,9,4,8,Data Analyst,High School,San Francisco,Got Promotion
24,93764,8,2,10,Business Analyst,PhD,Austin,No Promotion
38,51134,0,1,5,Data Engineer,High School,San Francisco,Got Promotion
38,112943,0,3,6,Data Engineer,Master's,San Francisco,Got Promotion
33,145667,8,1,6,Product Manager,PhD,San Francisco,No Promotion
49,104318,10,1,1,Business Analyst,PhD,San Francisco,No Promotion
35,110128,13,1,3,Software Engineer,High School,Chicago,No Promotion
42,138056,5,4,6,Data Scientist,Bachelor's,New York,No Promotion
27,71869,3,1,9,Product Manager,High School,Austin,Got Promotion
24,55039,6,1,6,Web developer,High School,Austin,No Promotion
49,71281,4,4,6,Data Analyst,PhD,San Francisco,Got Promotion
30,60442,9,2,1,Data Engineer,Master's,Austin,No Promotion
26,123788,13,0,9,Data Analyst,Bachelor's,Seattle,Got Promotion
45,77586,6,4,4,Data Scientist,High School,Austin,Got Promotion
38,103053,7,4,2,Business Analyst,Master's,San Francisco,Got Promotion
